atracao_id,dia_semana_id,horario,aberto
41,2,10:00 a 18:00,1
41,3,10:00 a 18:00,1
41,4,10:00 a 18:00,1
41,5,10:00 a 18:00,1
41,6,10:00 a 18:00,1
41,0,10:00 a 18:00,1
41,1,Fechado,0
42,2,"10:00 a 12:30, 13:30 a 19:00",1
42,3,"10:00 a 12:30, 13:30 a 19:00",1
42,4,"10:00 a 12:30, 13:30 a 19:00",1
42,5,10:00 a 19:00,1
42,6,11:00 a 18:00,1
42,0,"10:00 a 12:30, 13:30 a 19:00",1
42,1,"10:00 a 12:30, 13:30 a 19:00",1
43,2,09:00 a 17:00,1
43,3,09:00 a 17:00,1
43,4,09:00 a 17:00,1
43,5,09:00 a 17:00,1
43,6,09:00 a 17:00,1
43,0,Fechado,0
43,1,09:00 a 17:00,1
44,2,09:00 a 22:00,1
44,3,09:00 a 22:00,1
44,4,09:00 a 22:00,1
44,5,09:00 a 22:00,1
44,6,09:00 a 22:00,1
44,0,Fechado,0
44,1,09:00 a 22:00,1
45,2,08:00 a 17:00,1
45,3,08:00 a 17:00,1
45,4,08:00 a 17:00,1
45,5,14:00 a 20:00,1
45,6,14:00 a 20:00,1
45,0,08:00 a 17:00,1
45,1,08:00 a 17:00,1
46,2,09:00 a 16:00,1
46,3,09:00 a 16:00,1
46,4,09:00 a 16:00,1
46,5,09:00 a 16:00,1
46,6,09:00 a 16:00,1
46,0,Fechado,0
46,1,09:00 a 16:00,1
47,2,13:00 a 16:00,1
47,3,13:00 a 16:00,1
47,4,13:00 a 16:00,1
47,5,Fechado,0
47,6,Fechado,0
47,0,Fechado,0
47,1,13:00 a 16:00,1
48,2,06:00 a 18:00,1
48,3,06:00 a 18:00,1
48,4,06:00 a 18:00,1
48,5,06:00 a 18:00,1
48,6,06:00 a 18:00,1
48,0,06:00 a 18:00,1
48,1,06:00 a 18:00,1
49,2,11:00 a 19:00,1
49,3,11:00 a 19:00,1
49,4,11:00 a 19:00,1
49,5,11:00 a 19:00,1
49,6,11:00 a 19:00,1
49,0,11:00 a 19:00,1
49,1,Fechado,0
50,2,10:00 a 16:00,1
50,3,10:00 a 16:00,1
50,4,10:00 a 16:00,1
50,5,10:00 a 16:00,1
50,6,10:00 a 16:00,1
50,0,Fechado,0
50,1,10:00 a 16:00,1
51,2,10:00 a 17:30,1
51,3,10:00 a 17:30,1
51,4,10:00 a 17:30,1
51,5,Fechado,0
51,6,Fechado,0
51,0,Fechado,0
51,1,10:00 a 17:30,1
52,2,10:00 a 20:00,1
52,3,10:00 a 20:00,1
52,4,10:00 a 20:00,1
52,5,10:00 a 21:00,1
52,6,10:00 a 19:00,1
52,0,Fechado,0
52,1,10:00 a 20:00,1
